Processors,Fragments,Time1,Time2,Time,Speedup,Rate,Efficiency-S,Efficiency-R,
128,10000,59.6214,59.5155,59.56845,1,167.8741011,1,1,128
256,10000,34.8776,34.6143,34.74595,1.714399808,287.8033267,0.857199904,0.857199904,219.4431754
512,10000,24.8449,26.8061,25.8255,2.306574897,387.2141875,0.576643724,0.576643724,295.2415868
1024,10000,16.4157,16.5334,16.47455,3.615786167,606.9968527,0.451973271,0.451973271,462.8206294
2048,10000,16.7222,14.3188,15.5205,3.838049676,644.3091395,0.239878105,0.239878105,491.2703586
4096,10000,14.7029,14.0409,14.3719,4.144786006,695.8022252,0.129524563,0.129524563,530.5326088
8192,10000,15.564,16.9094,16.2367,3.668753503,615.8886966,0.057324273,0.057324273,469.6004484
128,20000,311.73,311.715,311.7225,1,64.15962916,1,1,
256,20000,171.603,171.225,171.414,1.818535826,116.6765842,0.909267913,0.909267913,
512,20000,100.774,128.725,114.7495,2.716547785,174.2926984,0.679136946,0.679136946,
1024,20000,79.817,77.3459,78.58145,3.966871316,254.5129926,0.495858915,0.495858915,
2048,20000,51.7268,59.1112,55.419,5.624830834,360.8870604,0.351551927,0.351551927,
4096,20000,49.2004,49.8587,49.52955,6.293667114,403.7993481,0.196677097,0.196677097,
8192,20000,46.3825,46.3712,46.37685,6.72151084,431.2496429,0.105023607,0.105023607,
128,40000,1920.97,1918.42,1919.695,1,20.83664332,1,1,
256,40000,996.078,1006.49,1001.284,1.917233272,39.94870586,0.958616636,0.958616636,
512,40000,583.169,577.05,580.1095,3.309194212,68.95249949,0.827298553,0.827298553,
1024,40000,396.821,355.688,376.2545,5.10211838,106.3110209,0.637764797,0.637764797,
2048,40000,255.138,229.621,242.3795,7.920203648,165.0304584,0.495012728,0.495012728,
4096,40000,179.397,172.375,175.886,10.91442753,227.4200334,0.34107586,0.34107586,
8192,40000,155.848,158.956,157.402,12.19612838,254.126377,0.190564506,0.190564506,
512,80000,3625.3,3636.89,3631.095,1,22.0319215,1,1,
1024,80000,2095.1,2035.2,2065.15,1.758271796,38.73810619,0.879135898,0.879135898,
2048,80000,1226.14,1226.14,1226.14,2.961403266,65.24540428,0.740350816,0.740350816,
4096,80000,833.191,833.191,833.191,4.358058356,96.0163996,0.544757295,0.544757295,
8192,80000,678.032,678.032,678.032,5.355344586,117.9885315,0.334709037,0.334709037,
16384,80000,592.15,592.15,592.15,6.132052689,135.1009035,0.191626647,0.191626647,
