Processors,Fragments,Time1,Time2,Time3,Time,Speedup,Rate,Efficiency,Efficiency-R,sp
1,313,3.53197,3.61105,3.7385,3.627173333,1,86.29309141,1,1,1
2,441,3.78846,3.81152,3.78017,3.793383333,0.956184233,116.2550581,0.478092117,0.478092117,0.956184233
4,625,3.65729,3.64712,3.64933,3.651246667,0.993406818,171.1744117,0.248351705,0.248351705,0.993406818
8,883,3.76043,3.75421,3.7603,3.758313333,0.965106688,234.9458179,0.120638336,0.120638336,0.965106688
16,1250,4.01761,4.02205,4.01752,4.01906,0.902492954,311.0179992,0.05640581,0.05640581,0.902492954
32,1767,4.02321,4.03788,4.02231,4.0278,0.900534618,438.7010279,0.028141707,0.028141707,0.900534618
64,2500,4.88632,5.01118,4.88595,4.927816667,0.736060933,507.3240685,0.011500952,0.011500952,0.736060933
128,3535,6.27857,6.29303,6.27475,6.282116667,0.577380766,562.708429,0.004510787,0.004510787,0.577380766
256,5000,8.16885,8.18737,8.23725,8.197823333,0.44245566,609.9179986,0.001728342,0.001728342,0.44245566
512,7071,13.5485,11.2311,11.3016,12.02706667,0.301584205,587.923905,0.000589032,0.000589032,0.301584205
1024,10000,16.3976,17.616,16.3514,16.78833333,0.216053212,595.6517423,0.000210989,0.000210989,0.216053212
2048,14142,28.9908,30.8096,29.9002,29.9002,0.121309333,472.9734249,5.92331E-05,5.92331E-05,0.121309333
4096,20000,49.2004,49.2004,49.2004,49.2004,0.073722436,406.5007602,1.79986E-05,1.79986E-05,0.073722436
8192,28284,166.998,166.998,166.998,166.998,0.021719861,169.3672978,2.65135E-06,2.65135E-06,0.021719861
